path,change_type,key,value,source_value,target_value,source_type,target_type,source_length,target_length
data,list_length_change,,,,,,,5499,5501
data[4].region,value_change,,,MADHUBAN SISTER CONCERNS,INDIA,,,,
data[19].name,value_change,,,ADOOR PANNIVIZHA,ADOOR,,,,
data[147].section,value_change,,,02874,02474,,,,
data[147].mobile,value_change,,,"6361510500, 9686903161","9835991783, 8540961622",,,,
data[147].coords[0],value_change,,,17.5695646000,25.5691210000,,,,
data[147].coords[1],value_change,,,76.5662671000,86.9020120000,,,,
data[147].state_id,value_change,,,9,5,,,,
data[147].state,value_change,,,KARNATAKA,BIHAR,,,,
data[147].address.pincode,value_change,,,585302,852219,,,,
data[147].address.line1,value_change,,,"SANGAM TEERTH, H NO: 11-355/6H",BUILDING-9,,,,
data[147].address.line3,value_change,,,NEAR B.R. PATIL SCHOOL,"VIJAY SMARAK, KAMESHWAR NAGAR",,,,
data[147].address.line2,value_change,,,PWD OFFICE ROAD,NEAR KANYA MADHYA VIDHYALAYA,,,,
data[147].address.city,value_change,,,ALAND,ALAMNAGAR ,,,,
data[147].district_id,value_change,,,1235,79,,,,
data[147].sub_zone,value_change,,,KTG,EBI,,,,
data[147].district,value_change,,,KALABURAGI,Madhepura,,,,
data[147].zone,value_change,,,KARNATAKA GULBURGA,EASTERN,,,,
data[147].contact,value_change,,,08477- 202795,,,,,
data[147].name,value_change,,,ALAND,ALAMNAGAR ,,,,
data[147].branch_code,value_change,,,00410,05561,,,,
data[148].section,value_change,,,00664,03366,,,,
data[148].email,value_change,,,alandi.pun@bkivv.org,,,,,
data[148].mobile,value_change,,,8788875876,"6204515892, 7857067107",,,,
data[148].coords[0],value_change,,,18.6762217000,25.5691190000,,,,
data[148].coords[1],value_change,,,73.9009431000,86.9020230000,,,,
data[148].state_id,value_change,,,12,5,,,,
data[148].state,value_change,,,MAHARASHTRA,BIHAR,,,,
data[148].address.pincode,value_change,,,412105,852219,,,,
data[148].address.line1,value_change,,,"H.NO: 426 NEW 1160, PARASNATH BHAVAN","PLOT NO: 1196/2359, OM SHANTI BHAWAN",,,,
data[148].address.line3,value_change,,,"ALANDI- MARKAL ROAD, TAL: KHED",HP GAS AGENCY ROAD,,,,
data[148].address.line2,value_change,,,ALANDI DEWACHI,NEAR V.S. PROJECT KANYA +2 SCHOOL,,,,
data[148].address.city,value_change,,,ALANDI,ALAMNAGAR,,,,
data[148].district_id,value_change,,,260,79,,,,
data[148].sub_zone,value_change,,,MPO,EBI,,,,
data[148].district,value_change,,,Pune,Madhepura,,,,
data[148].zone,value_change,,,MAHARASTRA,EASTERN,,,,
data[148].name,value_change,,,ALANDI,ALAMNAGAR,,,,
data[148].branch_code,value_change,,,02258,05588,,,,
data[149].section,value_change,,,00834,02874,,,,
data[149].email,value_change,,,alappuzha@bkivv.org,,,,,
data[149].mobile,value_change,,,"8921066795, 9995868033","6361510500, 9686903161",,,,
data[149].coords[0],value_change,,,76.3447386000,17.5695646000,,,,
data[149].coords[1],value_change,,,9.4789514000,76.5662671000,,,,
data[149].state_id,value_change,,,10,9,,,,
data[149].state,value_change,,,KERALA,KARNATAKA,,,,
data[149].address.pincode,value_change,,,688009,585302,,,,
data[149].address.line1,value_change,,,"H.NO: 12/692, HARMONY HOUSE","SANGAM TEERTH, H NO: 11-355/6H",,,,
data[149].address.line3,value_change,,,BRAHMA KUMARIS ROAD,NEAR B.R. PATIL SCHOOL,,,,
data[149].address.line2,value_change,,,PAZHAVEEDU POST OFFICE,PWD OFFICE ROAD,,,,
data[149].address.city,value_change,,,ALAPPUZHA,ALAND,,,,
data[149].district_id,value_change,,,519,1235,,,,
data[149].sub_zone,value_change,,,KERALA,KTG,,,,
data[149].district,value_change,,,Alappuzha,KALABURAGI,,,,
data[149].zone,value_change,,,TAMILNADU,KARNATAKA GULBURGA,,,,
data[149].contact,value_change,,,,08477- 202795,,,,
data[149].name,value_change,,,ALAPPUZHA,ALAND,,,,
data[149].branch_code,value_change,,,00834,00410,,,,
data[150].section,value_change,,,01424,00664,,,,
data[150].email,value_change,,,alephata@bkivv.org,alandi.pun@bkivv.org,,,,
